event_id,account_id,product_code,quantity,timestamp,idempotency_key
evt_0,acct_001,platform,910650,2026-05-01T23:00:00,acct_001-0
evt_1,acct_001,platform,910650,2026-05-09T07:00:00,acct_001-1
evt_2,acct_001,platform,910650,2026-05-08T04:00:00,acct_001-2
evt_3,acct_002,platform,962761,2026-05-19T13:00:00,acct_002-0
evt_4,acct_002,platform,962761,2026-05-02T00:00:00,acct_002-1
evt_5,acct_002,platform,962761,2026-05-03T06:00:00,acct_002-2
evt_6,acct_002,platform,98907,2026-06-03T00:00:00,acct_002-late
evt_7,acct_003,platform,40324,2026-05-23T20:00:00,acct_003-0
evt_8,acct_003,platform,40324,2026-05-23T17:00:00,acct_003-1
evt_9,acct_003,platform,40324,2026-05-14T07:00:00,acct_003-2
evt_10,acct_003,platform,40327,2026-05-15T18:00:00,acct_003-3
evt_11,acct_003,platform,20851,2026-06-03T00:00:00,acct_003-late
evt_12,acct_004,platform,119943,2026-05-11T08:00:00,acct_004-0
evt_13,acct_004,platform,119943,2026-05-05T06:00:00,acct_004-1
evt_14,acct_004,platform,119943,2026-05-31T10:00:00,acct_004-2
evt_15,acct_004,platform,119943,2026-05-04T02:00:00,acct_004-3
evt_16,acct_004,platform,119943,2026-05-13T03:00:00,acct_004-4
evt_17,acct_004,platform,119944,2026-05-12T11:00:00,acct_004-5
evt_18,acct_005,platform,38707,2026-05-18T03:00:00,acct_005-0
evt_19,acct_005,platform,38707,2026-05-30T12:00:00,acct_005-1
evt_20,acct_005,platform,38707,2026-05-03T17:00:00,acct_005-2
evt_21,acct_005,platform,38707,2026-05-10T20:00:00,acct_005-3
evt_22,acct_005,platform,38707,2026-05-20T11:00:00,acct_005-4
evt_23,acct_005,platform,38709,2026-05-19T06:00:00,acct_005-5
evt_24,acct_006,platform,60550,2026-05-25T09:00:00,acct_006-0
evt_25,acct_006,platform,60550,2026-05-03T07:00:00,acct_006-1
evt_26,acct_006,platform,60550,2026-05-28T03:00:00,acct_006-2
evt_27,acct_006,platform,60551,2026-05-13T08:00:00,acct_006-3
evt_28,acct_007,platform,395054,2026-05-12T11:00:00,acct_007-0
evt_29,acct_007,platform,395054,2026-05-07T21:00:00,acct_007-1
evt_30,acct_007,platform,395054,2026-05-09T22:00:00,acct_007-2
evt_31,acct_007,platform,395055,2026-05-30T21:00:00,acct_007-3
evt_32,acct_008,platform,651220,2026-05-18T23:00:00,acct_008-0
evt_33,acct_008,platform,651220,2026-05-08T05:00:00,acct_008-1
evt_34,acct_008,platform,651220,2026-05-15T12:00:00,acct_008-2
evt_35,acct_008,platform,651220,2026-05-09T20:00:00,acct_008-3
evt_36,acct_009,platform,194226,2026-05-27T01:00:00,acct_009-0
evt_37,acct_009,platform,194226,2026-05-08T01:00:00,acct_009-1
evt_38,acct_009,platform,194226,2026-05-26T10:00:00,acct_009-2
evt_39,acct_009,platform,194226,2026-05-13T08:00:00,acct_009-3
evt_40,acct_009,platform,194228,2026-05-03T06:00:00,acct_009-4
evt_41,acct_010,platform,485785,2026-05-07T20:00:00,acct_010-0
evt_42,acct_010,platform,485785,2026-05-16T12:00:00,acct_010-1
evt_43,acct_010,platform,485785,2026-05-29T20:00:00,acct_010-2
evt_44,acct_010,platform,485785,2026-05-15T04:00:00,acct_010-3
evt_45,acct_010,platform,485785,2026-05-09T04:00:00,acct_010-4
evt_46,acct_010,platform,93579,2026-06-03T00:00:00,acct_010-late
evt_47,acct_011,platform,462126,2026-05-24T18:00:00,acct_011-0
evt_48,acct_011,platform,462126,2026-05-14T18:00:00,acct_011-1
evt_49,acct_011,platform,462126,2026-05-13T11:00:00,acct_011-2
evt_50,acct_011,platform,462126,2026-05-08T04:00:00,acct_011-3
evt_51,acct_011,platform,462130,2026-05-17T15:00:00,acct_011-4
evt_52,acct_011,platform,462130,2026-05-17T15:00:00,acct_011-4
evt_53,acct_012,platform,82540,2026-05-05T20:00:00,acct_012-0
evt_54,acct_012,platform,82540,2026-05-06T21:00:00,acct_012-1
evt_55,acct_012,platform,82540,2026-05-14T19:00:00,acct_012-2
evt_56,acct_012,platform,82540,2026-05-14T19:00:00,acct_012-2
evt_57,acct_013,platform,275104,2026-05-17T08:00:00,acct_013-0
evt_58,acct_013,platform,275104,2026-05-18T00:00:00,acct_013-1
evt_59,acct_013,platform,275104,2026-05-22T23:00:00,acct_013-2
evt_60,acct_013,platform,275104,2026-05-04T21:00:00,acct_013-3
evt_61,acct_013,platform,275104,2026-05-29T17:00:00,acct_013-4
evt_62,acct_013,platform,275107,2026-05-25T08:00:00,acct_013-5
evt_63,acct_014,platform,492266,2026-05-10T13:00:00,acct_014-0
evt_64,acct_014,platform,492266,2026-05-06T14:00:00,acct_014-1
evt_65,acct_014,platform,492267,2026-05-01T23:00:00,acct_014-2
evt_66,acct_015,platform,288683,2026-05-17T03:00:00,acct_015-0
evt_67,acct_015,platform,288683,2026-05-28T20:00:00,acct_015-1
evt_68,acct_015,platform,288683,2026-05-10T20:00:00,acct_015-2
evt_69,acct_015,platform,288684,2026-05-17T19:00:00,acct_015-3
evt_70,acct_015,platform,288684,2026-05-17T19:00:00,acct_015-3
evt_71,acct_016,platform,404577,2026-05-18T16:00:00,acct_016-0
evt_72,acct_016,platform,404577,2026-05-30T00:00:00,acct_016-1
evt_73,acct_016,platform,404577,2026-05-20T10:00:00,acct_016-2
evt_74,acct_016,platform,404577,2026-05-16T00:00:00,acct_016-3
evt_75,acct_016,platform,404577,2026-05-16T00:00:00,acct_016-3
evt_76,acct_017,platform,314490,2026-05-08T01:00:00,acct_017-0
evt_77,acct_017,platform,314490,2026-05-08T18:00:00,acct_017-1
evt_78,acct_017,platform,314490,2026-05-31T02:00:00,acct_017-2
evt_79,acct_017,platform,314490,2026-05-03T23:00:00,acct_017-3
evt_80,acct_017,platform,314491,2026-05-16T02:00:00,acct_017-4
evt_81,acct_018,platform,571082,2026-05-05T21:00:00,acct_018-0
evt_82,acct_018,platform,571082,2026-05-16T17:00:00,acct_018-1
evt_83,acct_018,platform,571082,2026-05-06T08:00:00,acct_018-2
evt_84,acct_018,platform,571085,2026-05-17T19:00:00,acct_018-3
evt_85,acct_018,platform,47760,2026-06-03T00:00:00,acct_018-late
evt_86,acct_019,platform,577992,2026-05-23T09:00:00,acct_019-0
evt_87,acct_019,platform,577992,2026-05-13T21:00:00,acct_019-1
evt_88,acct_019,platform,577992,2026-05-21T11:00:00,acct_019-2
evt_89,acct_019,platform,577995,2026-05-15T16:00:00,acct_019-3
evt_90,acct_020,platform,272447,2026-05-03T10:00:00,acct_020-0
evt_91,acct_020,platform,272447,2026-05-01T18:00:00,acct_020-1
evt_92,acct_020,platform,272447,2026-05-18T07:00:00,acct_020-2
evt_93,acct_020,platform,272450,2026-05-19T07:00:00,acct_020-3
evt_94,acct_020,platform,272450,2026-05-19T07:00:00,acct_020-3
